age,tenure,vehicle_type,claims_history,claims_count
56,10,Sedan,0,0
69,16,Sedan,0,0
46,12,Truck,0,0
32,0,SUV,1,1
60,1,Truck,1,1
25,8,Truck,0,0
78,2,SUV,0,0
38,0,Motorcycle,0,0
56,15,Sedan,0,1
75,5,Motorcycle,1,2
36,16,Sedan,1,1
40,4,Truck,0,0
28,4,Sedan,0,0
28,5,Truck,0,0
41,2,Motorcycle,0,0
70,4,Truck,0,0
53,4,Motorcycle,0,0
57,9,SUV,0,1
41,9,SUV,0,0
20,18,SUV,0,0
39,16,Truck,2,2
70,13,SUV,0,0
19,8,Sedan,2,2
41,13,Motorcycle,1,1
61,0,Motorcycle,0,0
47,18,Sedan,1,2
55,12,Truck,2,2
19,12,Truck,0,0
77,3,Motorcycle,0,0
38,0,SUV,0,1
50,16,Truck,1,1
29,7,Truck,0,0
75,1,Sedan,1,2
39,7,Sedan,1,1
78,6,SUV,1,2
61,1,Truck,0,0
42,2,Truck,0,0
66,17,Sedan,0,0
44,11,Truck,1,1
76,0,Motorcycle,1,1
59,11,Sedan,0,0
45,4,SUV,0,0
77,16,Sedan,0,0
33,15,Truck,1,2
32,14,SUV,0,1
79,14,Sedan,0,0
79,4,Motorcycle,1,2
64,13,Motorcycle,1,1
79,1,Sedan,0,0
68,10,Motorcycle,1,1
61,18,Motorcycle,0,0
72,6,Motorcycle,1,1
69,5,SUV,1,1
74,1,Motorcycle,0,0
20,5,Motorcycle,0,0
54,17,Motorcycle,0,0
68,1,SUV,2,3
24,17,Sedan,0,0
38,14,Truck,1,2
26,18,Motorcycle,1,2
56,1,Sedan,1,2
35,19,Motorcycle,0,1
21,5,SUV,0,1
42,0,Sedan,0,0
77,14,SUV,1,1
31,9,Motorcycle,0,0
67,18,Motorcycle,0,0
75,16,SUV,1,1
26,4,Truck,0,0
43,3,SUV,0,1
70,9,Motorcycle,0,1
19,16,SUV,0,1
37,9,Truck,0,0
45,16,SUV,0,0
64,19,Truck,1,1
77,4,Truck,1,1
24,1,SUV,0,0
61,5,SUV,1,1
78,1,Sedan,0,1
25,12,Motorcycle,0,0
64,10,Truck,0,0
52,10,Sedan,0,0
31,15,SUV,0,0
34,10,Motorcycle,1,1
53,18,Sedan,1,2
67,14,Truck,1,1
57,15,Sedan,1,1
21,10,Truck,0,0
19,15,SUV,0,0
79,7,Motorcycle,1,1
23,3,Motorcycle,0,0
71,7,Motorcycle,0,0
59,3,SUV,2,2
21,2,Truck,0,0
71,2,SUV,0,0
46,17,Motorcycle,1,2
35,18,SUV,0,0
43,18,SUV,2,2
61,4,SUV,2,2
51,17,Truck,0,0
27,9,Sedan,1,1
79,5,Sedan,1,1
53,0,SUV,0,0
31,4,Sedan,2,3
48,8,Sedan,0,0
65,11,SUV,1,2
32,13,SUV,0,0
25,1,Motorcycle,0,1
31,16,Sedan,0,1
