age,tenure,vehicle_type,claims_history
56,10,Sedan,0
69,16,Sedan,0
46,12,Truck,0
32,0,SUV,1
60,1,Truck,1
25,8,Truck,0
78,2,SUV,0
38,0,Motorcycle,0
56,15,Sedan,0
75,5,Motorcycle,1
36,16,Sedan,1
40,4,Truck,0
28,4,Sedan,0
28,5,Truck,0
41,2,Motorcycle,0
70,4,Truck,0
53,4,Motorcycle,0
57,9,SUV,0
41,9,SUV,0
20,18,SUV,0
39,16,Truck,2
70,13,SUV,0
19,8,Sedan,2
41,13,Motorcycle,1
61,0,Motorcycle,0
47,18,Sedan,1
55,12,Truck,2
19,12,Truck,0
77,3,Motorcycle,0
38,0,SUV,0
50,16,Truck,1
29,7,Truck,0
75,1,Sedan,1
39,7,Sedan,1
78,6,SUV,1
61,1,Truck,0
42,2,Truck,0
66,17,Sedan,0
44,11,Truck,1
76,0,Motorcycle,1
59,11,Sedan,0
45,4,SUV,0
77,16,Sedan,0
33,15,Truck,1
32,14,SUV,0
79,14,Sedan,0
79,4,Motorcycle,1
64,13,Motorcycle,1
79,1,Sedan,0
68,10,Motorcycle,1
61,18,Motorcycle,0
72,6,Motorcycle,1
69,5,SUV,1
74,1,Motorcycle,0
20,5,Motorcycle,0
54,17,Motorcycle,0
68,1,SUV,2
24,17,Sedan,0
38,14,Truck,1
26,18,Motorcycle,1
56,1,Sedan,1
35,19,Motorcycle,0
21,5,SUV,0
42,0,Sedan,0
77,14,SUV,1
31,9,Motorcycle,0
67,18,Motorcycle,0
75,16,SUV,1
26,4,Truck,0
43,3,SUV,0
70,9,Motorcycle,0
19,16,SUV,0
37,9,Truck,0
45,16,SUV,0
64,19,Truck,1
77,4,Truck,1
24,1,SUV,0
61,5,SUV,1
78,1,Sedan,0
25,12,Motorcycle,0
64,10,Truck,0
52,10,Sedan,0
31,15,SUV,0
34,10,Motorcycle,1
53,18,Sedan,1
67,14,Truck,1
57,15,Sedan,1
21,10,Truck,0
19,15,SUV,0
79,7,Motorcycle,1
23,3,Motorcycle,0
71,7,Motorcycle,0
59,3,SUV,2
21,2,Truck,0
71,2,SUV,0
46,17,Motorcycle,1
35,18,SUV,0
43,18,SUV,2
61,4,SUV,2
51,17,Truck,0
27,9,Sedan,1
79,5,Sedan,1
53,0,SUV,0
31,4,Sedan,2
48,8,Sedan,0
65,11,SUV,1
32,13,SUV,0
25,1,Motorcycle,0
31,16,Sedan,0
40,13,Truck,0
77,12,SUV,2
74,8,Motorcycle,0
79,14,Truck,3
57,14,Sedan,0
38,10,Motorcycle,0
33,15,SUV,0
62,16,Truck,0
35,3,SUV,1
64,0,Sedan,0
70,7,Truck,0
41,16,Sedan,0
43,2,Sedan,0
42,19,Motorcycle,0
77,14,SUV,0
77,14,Truck,2
77,13,Sedan,0
62,13,Sedan,1
58,1,Truck,0
46,12,Sedan,1
32,13,Motorcycle,1
62,18,Motorcycle,0
18,6,Motorcycle,0
42,2,Motorcycle,1
24,14,Sedan,0
26,13,Truck,1
41,10,Truck,0
18,14,Truck,1
61,12,Truck,2
25,17,SUV,0
41,5,Truck,1
28,2,SUV,1
68,18,SUV,0
34,14,Motorcycle,0
25,4,SUV,2
52,9,Sedan,0
52,6,SUV,1
50,16,Motorcycle,0
76,6,SUV,1
22,11,Sedan,1
59,16,Sedan,0
56,12,Sedan,0
75,19,Motorcycle,1
58,3,Motorcycle,1
45,9,Truck,1
24,2,Motorcycle,0
26,8,Sedan,1
25,12,Sedan,0
29,17,Motorcycle,1
51,14,SUV,1
50,3,Motorcycle,1
65,14,Motorcycle,0
72,1,Sedan,2
40,14,Truck,0
79,7,Sedan,1
41,7,Truck,1
54,16,Sedan,0
52,11,Motorcycle,0
61,18,Sedan,1
57,9,Sedan,0
39,8,Sedan,1
44,4,Motorcycle,1
52,5,Motorcycle,0
18,19,Motorcycle,0
52,1,Motorcycle,0
54,12,Truck,0
64,5,Truck,0
31,4,SUV,1
20,0,Motorcycle,0
18,5,Truck,0
22,5,Sedan,0
43,15,Motorcycle,0
72,3,SUV,0
31,10,SUV,0
56,8,SUV,0
44,2,Sedan,0
26,18,Truck,1
32,7,Sedan,0
32,4,Motorcycle,1
43,3,SUV,1
59,5,Sedan,0
77,1,Sedan,0
30,19,Truck,0
68,10,Truck,1
49,3,SUV,1
56,14,Sedan,0
66,5,Sedan,0
69,16,Truck,0
78,5,Sedan,0
49,18,Sedan,1
21,1,Sedan,0
47,14,Truck,3
54,10,SUV,1
40,7,Motorcycle,1
56,18,SUV,0
62,12,Motorcycle,1
32,11,Sedan,3
60,4,SUV,1
46,5,Motorcycle,0
53,3,Truck,1
30,18,Truck,0
49,19,SUV,1
24,0,SUV,0
76,19,Sedan,1
68,16,SUV,3
39,11,Sedan,0
45,14,Sedan,0
19,0,Truck,2
59,13,Truck,0
62,5,Motorcycle,0
79,4,Truck,0
74,10,Truck,1
70,3,SUV,2
23,12,Truck,1
45,10,Motorcycle,0
45,2,SUV,1
61,0,Motorcycle,1
61,5,Truck,0
37,17,Motorcycle,1
47,9,SUV,0
79,4,Sedan,0
28,9,Motorcycle,1
75,11,Motorcycle,2
72,1,SUV,0
45,12,SUV,0
42,7,Motorcycle,1
56,1,Truck,0
79,19,Motorcycle,0
50,0,SUV,1
18,4,Sedan,2
74,8,Sedan,1
44,16,Truck,1
79,8,Motorcycle,1
74,10,Sedan,0
69,14,Motorcycle,0
30,5,SUV,0
58,2,Sedan,0
20,16,Truck,0
56,4,SUV,0
23,11,Truck,0
25,17,SUV,1
44,13,Sedan,0
26,10,Truck,0
79,8,Truck,0
54,1,SUV,1
50,11,Truck,2
68,2,SUV,1
59,2,SUV,2
61,0,SUV,1
41,7,SUV,1
32,7,Sedan,0
76,10,SUV,0
71,8,Motorcycle,0
49,4,Truck,0
49,13,Motorcycle,0
41,2,Sedan,0
58,4,Motorcycle,0
69,4,Truck,1
66,18,Motorcycle,0
79,13,Sedan,1
66,3,SUV,0
75,12,Motorcycle,2
69,9,Sedan,0
29,17,Sedan,2
79,7,Truck,1
56,7,Truck,0
19,6,Motorcycle,0
20,7,SUV,1
66,13,Sedan,1
54,18,Motorcycle,0
66,5,Sedan,0
73,0,Sedan,1
34,14,SUV,0
76,0,SUV,1
66,16,Motorcycle,1
19,0,SUV,1
19,14,SUV,1
45,1,Motorcycle,0
71,13,SUV,0
40,7,Truck,0
54,7,Sedan,0
49,18,Sedan,1
50,6,Sedan,1
18,18,Sedan,1
36,5,Motorcycle,0
79,5,Sedan,2
19,2,Sedan,0
70,6,Sedan,0
61,18,Sedan,1
43,7,Truck,0
49,9,Sedan,1
23,19,Truck,0
49,14,Motorcycle,0
72,14,SUV,1
21,0,Sedan,0
72,19,SUV,0
28,6,SUV,0
73,3,Motorcycle,1
76,5,SUV,0
34,0,Truck,0
55,4,SUV,0
41,0,SUV,0
22,3,SUV,1
69,1,Sedan,2
51,9,Sedan,0
23,4,Truck,0
39,9,Truck,0
28,0,Sedan,0
65,5,Truck,0
33,12,Sedan,0
50,14,Motorcycle,1
26,3,SUV,1
77,12,SUV,1
76,19,Truck,0
23,14,Sedan,1
33,7,Sedan,0
46,4,Truck,1
20,14,Sedan,0
37,3,Motorcycle,2
77,11,SUV,0
76,12,Truck,1
53,1,Truck,2
36,18,Sedan,1
43,18,Truck,1
20,3,Motorcycle,0
36,3,Sedan,1
37,10,Sedan,1
49,4,Sedan,1
24,19,Sedan,0
69,10,Motorcycle,0
58,9,Sedan,1
50,7,Truck,0
57,5,Motorcycle,1
56,5,SUV,1
35,7,SUV,1
57,14,Truck,0
18,13,Truck,0
28,10,Motorcycle,0
45,11,SUV,0
74,12,SUV,0
42,7,SUV,1
67,17,SUV,0
40,0,SUV,3
48,14,Sedan,0
47,7,Truck,0
59,10,Sedan,0
52,11,SUV,0
24,11,Motorcycle,2
77,3,Motorcycle,0
33,15,SUV,1
43,3,SUV,0
65,4,Motorcycle,1
74,4,Sedan,0
69,7,Sedan,0
77,9,SUV,1
66,16,Sedan,0
19,8,Motorcycle,0
18,18,Sedan,0
65,13,SUV,0
79,7,Motorcycle,1
29,8,Sedan,1
22,10,Truck,0
54,0,Motorcycle,0
49,13,Motorcycle,0
76,4,Truck,0
72,13,Truck,0
26,3,Motorcycle,0
58,0,Truck,1
52,18,SUV,2
36,7,SUV,0
65,14,SUV,0
33,14,Motorcycle,0
20,8,Truck,0
37,8,Truck,1
41,9,Sedan,0
71,19,Sedan,1
73,8,Truck,1
50,2,Truck,0
41,19,Truck,0
69,10,Motorcycle,0
28,5,Truck,1
66,1,Sedan,1
25,6,Motorcycle,0
53,17,Truck,0
55,1,Sedan,0
57,16,Motorcycle,1
37,10,Truck,0
